product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P001;lapte zuzu;Zuzu;1;l;lactate;2025-05-01;2025-05-10;10
P001;lapte zuzu;Zuzu;1;l;lactate;2025-05-05;2025-05-15;15
P002;iaurt grecesc;Lidl;0.4;kg;lactate;2025-05-01;2025-05-10;0
P002;iaurt grecesc;Olympus;0.4;kg;lactate;2025-05-01;2025-05-10;5
P005;ouă mărimea M;Lidl;10;buc;ouă;2025-05-01;2025-05-10;8
P008;brânză telemea;Pilos;0.3;kg;lactate;2025-05-01;2025-05-10;12
P008;brânză telemea;Pilos;0.3;kg;lactate;;2025-05-10;2025-05-20;10
P011;pâine albă;Lidl;500;g;panificație;2025-05-01;2025-05-10;5
P014;roșii cherry;Lidl;250;g;legume și fructe;2025-05-01;2025-05-10;
P017;piept pui;Cocorico;1;kg;carne;2025-05-01;2025-05-10;7
P020;spaghetti nr.5;Barilla;500;g;paste făinoase;2025-05-01;2025-05-10;6
P021;zahăr tos;Lidl;1;kg;alimente de bază;2025-05-01;2025-05-10;4
P028;ulei floarea-soarelui;Bunica;1;l;alimente de bază;2025-05-01;2025-05-10;9
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-05-01;2025-05-10;11
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-05-01;;13
P040;șampon păr gras;Head & Shoulders;400;ml;îngrijire personală;2025-05-01;2025-05-10;6
P043;hârtie igienică 3 straturi;Zewa;10;role;produse de menaj;2025-05-01;2025-05-10;5
P046;piper negru măcinat;Kotanyi;50;g;condimente;2025-05-01;2025-05-10;3
P049;vin alb demisec;Jidvei;0.75;l;băuturi;2025-05-01;2025-05-10;7
P052;ciocolată neagră 70%;Fin Carre;100;g;gustări;2025-05-01;2025-05-10;8
